"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"mm10-Ndufb5",2.8425592549681e-67,0.571901800556577,0.991,0.949,4.40852514853002e-63,"2","mm10-Ndufb5"
"mm10-Zfp672",3.83755233170283e-67,0.279135040104492,0.581,0.211,5.95165991123792e-63,"2","mm10-Zfp672"
"mm10-Mrps12",4.70983364189475e-67,0.478103629817043,0.88,0.574,7.30448099521457e-63,"2","mm10-Mrps12"
"mm10-Poldip2",5.14500767893173e-67,0.513208949943524,0.91,0.664,7.97939240925521e-63,"2","mm10-Poldip2"
"mm10-Ccdc50",7.9017493302032e-67,0.524598518156469,0.88,0.55,1.22548230362121e-62,"2","mm10-Ccdc50"
"mm10-Pola2",8.6947342630836e-67,0.57990071260556,0.657,0.293,1.34846633686164e-62,"2","mm10-Pola2"
"mm10-Zcrb11",1.44139360447373e-66,0.526706905867244,0.991,0.967,2.2354573411783e-62,"2","mm10-Zcrb1"
"mm10-Fam8a1",2.5253675408689e-66,0.294790136487957,0.585,0.217,3.91659251913357e-62,"2","mm10-Fam8a1"
"mm10-Acads",2.6874410639183e-66,0.399593130287869,0.688,0.313,4.16795234603089e-62,"2","mm10-Acads"
"mm10-Ccng21",4.04619141906876e-66,0.306833722655543,0.535,0.185,6.27523827183373e-62,"2","mm10-Ccng2"
"mm10-Rpp14",5.34609977052686e-66,0.428757961252237,0.799,0.427,8.29126613411011e-62,"2","mm10-Rpp14"
"mm10-Arhgap29",6.52290864643593e-66,0.298902485972729,0.583,0.21,1.01163790197575e-61,"2","mm10-Arhgap29"
"mm10-Coa5",1.56444795502362e-65,0.503240737766392,0.862,0.505,2.42630233344613e-61,"2","mm10-Coa5"
"mm10-Abhd17b",1.99410545392125e-65,0.318525228508014,0.745,0.323,3.09265814848647e-61,"2","mm10-Abhd17b"
"mm10-Mavs",2.35080058642586e-65,0.257407601372439,0.504,0.172,3.64585662948786e-61,"2","mm10-Mavs"
"mm10-Zfp385a",2.70875208555263e-65,0.276195763825786,0.627,0.243,4.20100360948357e-61,"2","mm10-Zfp385a"
"mm10-1700037H04Rik",5.49847386335851e-65,0.569168855469139,0.904,0.634,8.52758311468271e-61,"2","mm10-1700037H04Rik"
"mm10-Acadsb",2.86827210371799e-64,0.276050379187049,0.45,0.141,4.44840320565624e-60,"2","mm10-Acadsb"
"mm10-Por",3.58685437091156e-64,0.364252714608013,0.69,0.298,5.56285244384673e-60,"2","mm10-Por"
"mm10-Pradc1",5.33765060401302e-64,0.443206497763568,0.782,0.434,8.27816232176379e-60,"2","mm10-Pradc1"
"mm10-Usmg5",6.20294794591886e-64,0.549018651080059,0.991,0.992,9.62015196932556e-60,"2","mm10-Usmg5"
"mm10-Tomm22",1.0084283387707e-63,0.569256531857974,0.961,0.895,1.56397151059948e-59,"2","mm10-Tomm22"
"mm10-Zcchc241",1.03608542179023e-63,0.368088383122019,0.681,0.289,1.60686488065447e-59,"2","mm10-Zcchc24"
"mm10-Fam69a",1.12351758379791e-63,0.258717351329841,0.513,0.178,1.74246342071218e-59,"2","mm10-Fam69a"
"mm10-Pop5",1.48181205526975e-63,0.531871552408422,0.876,0.598,2.29814231651785e-59,"2","mm10-Pop5"
"mm10-Gclm1",1.50006372224912e-63,0.490789909510348,0.869,0.555,2.32644882683617e-59,"2","mm10-Gclm"
"mm10-Azin1",1.78672154711396e-63,0.360936671731414,0.731,0.33,2.77102644741904e-59,"2","mm10-Azin1"
"mm10-Snx10",4.49679488664309e-63,0.353068273381454,0.646,0.265,6.97407918969477e-59,"2","mm10-Snx10"
"mm10-Plin2",8.44772466716559e-63,0.586675441154434,0.775,0.434,1.31015761863071e-58,"2","mm10-Plin2"
"mm10-Hipk1",1.01108986887903e-62,0.292247633768463,0.581,0.217,1.56809927764449e-58,"2","mm10-Hipk1"
"mm10-Syap1",1.19363048492302e-62,0.268397366249256,0.592,0.222,1.85120151906711e-58,"2","mm10-Syap1"
"mm10-Tomm51",1.90721442382322e-62,0.603052948849804,0.983,0.936,2.95789884990744e-58,"2","mm10-Tomm5"
"mm10-Rnf149",2.94168916596774e-62,0.412497336942841,0.867,0.493,4.56226572749937e-58,"2","mm10-Rnf149"
"mm10-Stk38",3.57904529033853e-62,0.311225763805981,0.642,0.262,5.55074134078602e-58,"2","mm10-Stk38"
